"","X1","X2","X3","X4"
"1",9.59755291206765,9.43486054849514,9.43486054849514,6.94559802984057
"2",5.76250668368362,6.08602791952383,6.08602791952383,7.63562744437128
"3",5.08725838952259,7.94134204655391,7.94134204655391,5.35475591764588
"4",3.40898190596019,9.27116340848072,9.27116340848072,8.35224440830332
"5",7.16184841839759,8.99748678343516,8.99748678343516,7.60791675215362
"6",1.16935904151523,4.75120100126734,4.75120100126734,5.72655684525772
"7",8.90860326774511,9.40731298622372,9.40731298622372,0.609433754965486
"8",8.01288490004359,8.85082313107803,8.85082313107803,3.79810879973549
"9",6.5393356160037,9.18338464511029,9.18338464511029,4.86536743147078
"10",2.43522551093295,8.91962475869228,8.91962475869228,7.69579639236066
"11",8.72393366829555,9.61779909816248,9.61779909816248,5.57092072423243
"12",3.79193646583023,7.46133882985522,7.46133882985522,5.24104357061535
"13",4.38686067523388,8.7496890591829,8.7496890591829,8.20364314635734
"14",0.541352779971752,9.2640560351447,9.2640560351447,8.9433588753003
"15",7.28500046990482,9.56967234650521,9.56967234650521,3.36518875152116
"16",4.22663162784698,8.25171693068615,8.25171693068615,5.59868212494186
"17",9.61004573261463,8.85718390764014,8.85718390764014,4.25568814890314
"18",7.8092824235587,9.21061492193063,9.21061492193063,5.69288992595227
"19",8.57817674906587,9.1644694546956,9.1644694546956,9.11580032284581
"20",4.41877972754357,9.01949917329428,9.01949917329428,8.65514993277815
"21",2.33327792250406,4.13882588145741,4.13882588145741,2.93668825628213
"22",8.18660987125008,7.84672856782047,7.84672856782047,4.84661831644098
"23",6.5606568785897,1.66997401689428,1.66997401689428,2.64700690879145
"24",4.39403734234032,8.95801009028409,8.95801009028409,8.56586082045287
"25",0.431154530464528,7.90340049815518,7.90340049815518,7.28267702671366
"26",6.22157815441602,8.36853956479161,8.36853956479161,4.81908044977316
"27",5.77620224713935,8.84194599239169,8.84194599239169,4.69626087695593
"28",2.53059070138384,8.8139059115648,8.8139059115648,8.49385600626023
"29",6.94073060324495,8.55678026803433,8.55678026803433,8.45684443159908
"30",9.0608378803045,8.8507747269249,8.8507747269249,6.0980465757021
